,index,duration_min,session,day,Dialy_Average,percentage
278,2018-03-08,0.167,1,Thursday,1.3,-0.8715384615384615
279,2018-03-09,4.034,5,Friday,1.3,2.103076923076923
280,2018-03-10,0.784,3,Saturday,1.6,-0.51
281,2018-03-11,0.8340000000000001,2,Sunday,1.5,-0.44399999999999995
282,2018-03-12,1.167,2,Monday,1.4,-0.16642857142857134
283,2018-03-13,2.6350000000000002,5,Tuesday,1.4,0.8821428571428575
284,2018-03-14,12.85,1,Wednesday,1.4,8.178571428571429
285,2018-03-15,0.9500000000000001,4,Thursday,1.3,-0.2692307692307692
286,2018-03-16,2.783,2,Friday,1.3,1.1407692307692305
287,2018-03-17,1.9160000000000001,3,Saturday,1.6,0.19750000000000004
288,2018-03-18,5.683,3,Sunday,1.5,2.7886666666666664
289,2018-03-19,4.4159999999999995,7,Monday,1.4,2.154285714285714
290,2018-03-20,5.0169999999999995,5,Tuesday,1.4,2.5835714285714286
291,2018-03-21,4.183,2,Wednesday,1.4,1.987857142857143
292,2018-03-22,1.6680000000000001,4,Thursday,1.3,0.28307692307692317
293,2018-03-23,0.234,2,Friday,1.3,-0.8200000000000001
294,2018-03-24,1.2000000000000002,5,Saturday,1.6,-0.24999999999999994
295,2018-03-25,5.25,2,Sunday,1.5,2.5
296,2018-03-26,5.2330000000000005,4,Monday,1.4,2.7378571428571434
297,2018-03-27,1.0,1,Tuesday,1.4,-0.28571428571428564
298,2018-03-28,2.667,2,Wednesday,1.4,0.905
299,2018-03-29,2.667,2,Thursday,1.3,1.0515384615384613
300,2018-03-30,13.95,4,Friday,1.3,9.73076923076923
301,2018-03-31,0.417,1,Saturday,1.6,-0.739375
302,2018-04-01,2.867,4,Sunday,1.5,0.9113333333333333
303,2018-04-02,0.0,0,Monday,1.4,-1.0
304,2018-04-03,0.401,3,Tuesday,1.4,-0.7135714285714285
305,2018-04-04,1.334,4,Wednesday,1.4,-0.04714285714285703
306,2018-04-05,0.383,3,Thursday,1.3,-0.7053846153846154
307,2018-04-06,3.2510000000000003,3,Friday,1.3,1.5007692307692309
308,2018-04-07,11.667000000000002,5,Saturday,1.6,6.291875000000001
309,2018-04-08,8.850999999999999,4,Sunday,1.5,4.900666666666666
310,2018-04-09,1.633,1,Monday,1.4,0.1664285714285715
311,2018-04-10,3.383,5,Tuesday,1.4,1.4164285714285716
312,2018-04-11,1.651,6,Wednesday,1.4,0.17928571428571438
313,2018-04-12,2.3339999999999996,2,Thursday,1.3,0.795384615384615
314,2018-04-13,2.301,4,Friday,1.3,0.77
315,2018-04-14,5.183999999999999,3,Saturday,1.6,2.2399999999999993
316,2018-04-15,4.034,2,Sunday,1.5,1.6893333333333331
317,2018-04-16,1.816,3,Monday,1.4,0.29714285714285726
318,2018-04-17,0.167,1,Tuesday,1.4,-0.8807142857142857
319,2018-04-18,2.901,6,Wednesday,1.4,1.072142857142857
320,2018-04-19,6.35,2,Thursday,1.3,3.884615384615384
321,2018-04-20,4.667,2,Friday,1.3,2.59
322,2018-04-21,0.55,3,Saturday,1.6,-0.65625
323,2018-04-22,0.5,1,Sunday,1.5,-0.6666666666666666
324,2018-04-23,6.517,6,Monday,1.4,3.6550000000000007
325,2018-04-24,0.833,3,Tuesday,1.4,-0.40499999999999997
326,2018-04-25,1.016,4,Wednesday,1.4,-0.27428571428571424
327,2018-04-26,6.117,6,Thursday,1.3,3.7053846153846153
328,2018-04-27,5.167,9,Friday,1.3,2.9746153846153844
329,2018-04-28,0.667,3,Saturday,1.6,-0.583125
330,2018-04-29,0.8999999999999999,4,Sunday,1.5,-0.4000000000000001
331,2018-04-30,0.667,2,Monday,1.4,-0.5235714285714285
332,2018-05-01,3.25,2,Tuesday,1.4,1.3214285714285716
333,2018-05-02,2.066,4,Wednesday,1.4,0.4757142857142857
334,2018-05-03,3.8840000000000003,7,Thursday,1.3,1.987692307692308
335,2018-05-04,2.317,5,Friday,1.3,0.7823076923076924
336,2018-05-05,0.0,0,Saturday,1.6,-1.0
337,2018-05-06,2.784,2,Sunday,1.5,0.8559999999999999
338,2018-05-07,6.4,6,Monday,1.4,3.5714285714285716
339,2018-05-08,2.8,1,Tuesday,1.4,1.0
340,2018-05-09,3.7,5,Wednesday,1.4,1.6428571428571432
341,2018-05-10,7.899,6,Thursday,1.3,5.076153846153846
342,2018-05-11,3.8339999999999996,3,Friday,1.3,1.949230769230769
343,2018-05-12,0.833,1,Saturday,1.6,-0.47937500000000005
344,2018-05-13,1.55,3,Sunday,1.5,0.03333333333333336
345,2018-05-14,0.4,2,Monday,1.4,-0.7142857142857143
346,2018-05-15,28.000999999999998,6,Tuesday,1.4,19.000714285714285
347,2018-05-16,34.833,8,Wednesday,1.4,23.880714285714287
348,2018-05-17,3.8,4,Thursday,1.3,1.923076923076923
349,2018-05-18,0.0,0,Friday,1.3,-1.0
350,2018-05-19,2.5009999999999994,3,Saturday,1.6,0.5631249999999995
351,2018-05-20,17.968,5,Sunday,1.5,10.978666666666667
352,2018-05-21,0.667,2,Monday,1.4,-0.5235714285714285
353,2018-05-22,4.983,3,Tuesday,1.4,2.559285714285714
354,2018-05-23,0.167,1,Wednesday,1.4,-0.8807142857142857
355,2018-05-24,5.116999999999999,9,Thursday,1.3,2.9361538461538457
356,2018-05-25,2.75,3,Friday,1.3,1.1153846153846154
357,2018-05-26,2.833,2,Saturday,1.6,0.770625
358,2018-05-27,4.667,1,Sunday,1.5,2.111333333333333
359,2018-05-28,11.2,3,Monday,1.4,7.0
360,2018-05-29,0.5,2,Tuesday,1.4,-0.6428571428571428
361,2018-05-30,1.3499999999999999,4,Wednesday,1.4,-0.03571428571428575
362,2018-05-31,7.383,3,Thursday,1.3,4.679230769230769
363,2018-06-01,2.634,6,Friday,1.3,1.026153846153846
364,2018-06-02,5.166,6,Saturday,1.6,2.2287500000000002
365,2018-06-03,6.167,2,Sunday,1.5,3.111333333333333
366,2018-06-04,3.684,4,Monday,1.4,1.6314285714285717
367,2018-06-05,1.4840000000000002,4,Tuesday,1.4,0.06000000000000021
368,2018-06-06,2.801,3,Wednesday,1.4,1.000714285714286
369,2018-06-07,0.5,1,Thursday,1.3,-0.6153846153846154
370,2018-06-08,1.3170000000000002,4,Friday,1.3,0.013076923076923173
371,2018-06-09,4.6499999999999995,5,Saturday,1.6,1.9062499999999996
372,2018-06-10,11.25,4,Sunday,1.5,6.5
373,2018-06-11,1.5,3,Monday,1.4,0.0714285714285715
374,2018-06-12,1.2510000000000001,4,Tuesday,1.4,-0.10642857142857129
375,2018-06-13,1.167,2,Wednesday,1.4,-0.16642857142857134
376,2018-06-14,4.033,7,Thursday,1.3,2.1023076923076927
377,2018-06-15,6.618,6,Friday,1.3,4.090769230769231
378,2018-06-16,6.65,4,Saturday,1.6,3.1562500000000004
379,2018-06-17,8.484,5,Sunday,1.5,4.656
380,2018-06-18,1.583,4,Monday,1.4,0.13071428571428576
381,2018-06-19,0.501,3,Tuesday,1.4,-0.6421428571428571
382,2018-06-20,4.584,8,Wednesday,1.4,2.274285714285714
383,2018-06-21,3.0330000000000004,3,Thursday,1.3,1.3330769230769233
384,2018-06-22,15.367,5,Friday,1.3,10.82076923076923
385,2018-06-23,12.299,9,Saturday,1.6,6.686875
386,2018-06-24,11.517999999999999,4,Sunday,1.5,6.678666666666666
387,2018-06-25,5.3839999999999995,2,Monday,1.4,2.8457142857142856
388,2018-06-26,0.8,3,Tuesday,1.4,-0.4285714285714285
389,2018-06-27,2.334,4,Wednesday,1.4,0.6671428571428573
390,2018-06-28,6.699000000000001,3,Thursday,1.3,4.153076923076924
391,2018-06-29,0.8340000000000001,2,Friday,1.3,-0.35846153846153844
392,2018-06-30,0.833,3,Saturday,1.6,-0.47937500000000005
393,2018-07-01,3.0,3,Sunday,1.5,1.0
394,2018-07-02,0.083,1,Monday,1.4,-0.9407142857142857
395,2018-07-03,3.5,4,Tuesday,1.4,1.5000000000000002
396,2018-07-04,2.25,4,Wednesday,1.4,0.6071428571428572
397,2018-07-05,0.15,1,Thursday,1.3,-0.8846153846153847
398,2018-07-06,2.783,5,Friday,1.3,1.1407692307692305
399,2018-07-07,9.533000000000001,6,Saturday,1.6,4.958125000000001
400,2018-07-08,2.651,7,Sunday,1.5,0.7673333333333332
401,2018-07-09,7.4,3,Monday,1.4,4.285714285714286
402,2018-07-10,1.2670000000000001,5,Tuesday,1.4,-0.09499999999999985
403,2018-07-11,4.417,1,Wednesday,1.4,2.1550000000000002
404,2018-07-12,2.884,5,Thursday,1.3,1.2184615384615383
405,2018-07-13,0.133,1,Friday,1.3,-0.8976923076923077
